name,hand
hu826751,Right
huDDCF88,Right
hu3DC5EA,Right
hu008567,Right
hu98FFC6,Right
hu0D1FA1,Right
hu7604D9,Right
huCF446F,Right
hu6E5DF0,Right
hu05CA34,Right
hu9F7183,Right
hu0FB755,Right
hu0FB755,Right
hu5DA1EE,partially ambidextrous
huE7F5FC,Right
huAEADC0,Right
hu775E9F,Left
hu2D6140,Right
hu4BF398,Right
hu726FB4,Left
hu2C1D94,Left
huB1FD55,Right
hu816A0B,Right
huA60DA9,Right
hu5A063B,Right
huB10361,naturally left-handed- forced to write with rt. but am ambidextrous now
huA08B2B,Right
hu101457,Left
hu60180F,Right
huDE435D,Left
huA05317,Right
huBD6B35,Right
hu38BF09,Right
hu6C733E,Right
hu5BB600,Left
hu2C1AB7,Right
hu260CA7,Right
hu7A262B,Right
huB24B8E,Right
hu04260F,Right
hu17ABE7,Both equally well
huA9A1B6,Right
hu8D99F6,Right
hu8D99F6,Right
hu95E46D,Both equally well
huDBF9DD,Right
hu034DB1,Right
hu0E64A1,Right
hu627574,Left
hu2BC187,Left
hu7123C1,Right
huE9B080,Right
huEA2AF0,Right
huC14AE1,Right
huCBEE5B,Right
hu2F052E,Right
hu5880D9,Right
hu9408BD,Left
huA7EB97,Right
hu52DA79,Right
huD550A5,Left
hu374F4A,Right
huD16532,Right
hu1365DC,Right
hu63432C,Right
huBA344C,Right
hu7D0E75,Right
hu516E89,Right
hu3E50D4,Right
hu265361,Right
hu5A6172,Right
huCCF26A,Right
hu4F3A99,Right
huD57BBF,Right
huF041C5,Right
hu14262A,Right
hu5844AD,Left
huD09050,Right
huCAFC1C,Right
huD8C3BD,Both equally well
hu6C3F34,Left
hu28391C,Right
hu76CAA5,Right
huF83462,Left
huC5733C,Right
hu10D50B,Right
huB5A0DF,Right
hu5962F5,Right
hu2D53F2,
huFD4AD3,Right
hu12771C,Right
hu8FE675,Right
hu751995,Right
huE2FAF1,Right
huC4F2BB,Right
huA720D3,Right
hu397733,Right
hu05E665,Right
huD20DAF,Right
huD10FBC,Right
hu337BB4,Right
hu0F0879,Right
huF80F84,Right
hu3C86DB,Right
hu04F220,Right
huA55602,Right
hu9941AD,"Right, except when batting a ball or firing a rifle, because my left eye is my master."
huDBD591,Right
hu851AB8,Right
huD0E08A,Right
hu21DC54,Right
huC36E0F,Left
hu28DA07,Right
huBC8000,Left
hu30AAAF,Right
hu521A6E,Right
huE58F77,Right
hu7BE59E,Right
hu6D50BE,Right
hu599905,Right
hu5B19AE,Right
hu580BA5,Right
hu5A61B8,Left
hu675643,Right
hu399FC0,Right
hu81C741,Right
hu5AB9A8,Right
hu24F4AB,Right
hu779B4F,Right
hu3CAB43,Right
hu8AFE1F,Right
hu6D1115,Right
huA45084,Right
hu1A8C1E,Right
huB89823,Right
hu96405F,Right
hu33894B,Right
huE9D7FD,Right
hu34BA70,Right
huDD6E7A,Right
hu00D419,Right
hu05F442,Right
huFEC65A,Right
hu251460,Right
hu574751,Right
hu30888B,Right
huE5A9A3,Right
huCEB0FE,Right
hu3A68BA,Right
huEE0410,Right
hu70C80B,Right
hu024B5D,Right
hu2AF047,Right
hu6A28EC,Right
hu613C50,Right
hu2AE6B6,Right
huD554DB,Both equally well
hu4B11A3,Right
hu98D4A9,Right
huF8AE42,Right
hu5E55F5,Right
huA8B443,Right
huD0D79A,Left
huD95DAB,Right
huB6B648,Right
hu8D6607,Right
huB68207,Right
hu26B551,Right
hu5CD2C6,Left
huD92216,Left
hu57C3BB,Left
huB0CC9A,Right
hu5F5EB7,Right
hu4B3FF4,Right
hu97DF8E,Left
huC96797,Right
hu05AE3F,Right
huEC68B1,Right
huF7E042,Right
huE44F41,
hu9745B5,Right
hu3DF8AD,Right
hu42FD5E,Right
huAC3640,Right
huA4E2CF,Right
huEBC5E7,Right
hu117D1E,Right
hu86BC6B,Left
hu50405B,Right
hu0D77CC,Right
hu21731A,Right
hu9A06D5,Right
huF90C82,Right
hu2C7459,Left
hu2B76CC,Right
huD2F73D,Right
hu90D19A,Left
hu8BEDE1,Right
hu7FA667,Right
hu51FE08,Right
hu1B2689,Left
hu3C0611,Right
hu9D3638,Right
huE9B698,Right
hu2E4B9F,Right
huFF2969,Right
huEC6EEC,Right
hu9FEC32,Right
hu8BFB8B,Right
huEC0E19,Right
hu6E8157,Right
huAB5240,Right
huCED936,Right
hu868BCC,Left
hu67EBB3,Right
huD7960A,Right
hu13812F,Right
huC11596,Left
hu8A71D6,Left
hu8E2A35,Right
huA9A9EE,Right
hu27E03F,Right
hu88D1FC,Right
hu4DB380,Right
huF91B66,Right
huE753C3,Right
huADA07D,Right
huEEE6E8,Right
hu01FCAD,Right
hu6578EA,Right
huAD98C9,Right
huEB7553,Right
hu5AE862,Left
hu592A16,Right
huB4940E,Right
hu3BBB0F,Right
hu620F18,Right
hu155D20,Right
hu63B0BA,Right
